Country,Refinery Name,Owner/Operator,Location,Approx. Lat/Long,Capacity (bpd),Approx. Annual (barrels),Status / Notes (April 2026),Source 1,Source 2,Source 3,Source 4
South Africa,Engen Refinery,Vivo Energy / Vitol-linked,Durban,"29.89°S, 31.03°E","135,000",~49 million,Shut since 2020; now storage/terminal,https://en.wikipedia.org/wiki/List_of_oil_refineries,https://dailyinvestor.com/energy/129726/three-facilities-stopping-south-africa-from-falling-off-a-cliff/,https://en.wikipedia.org/wiki/List_of_oil_refineries,
South Africa,Astron (Cape Town) Refinery,Astron Energy (Glencore-linked),Cape Town,"33.92°S, 18.42°E","100,000",~36.5 million,Operational,https://en.wikipedia.org/wiki/List_of_oil_refineries,https://en.wikipedia.org/wiki/List_of_oil_refineries,,
South Africa,Natref Refinery,Sasol (majority) / partners,Sasolburg,"26.82°S, 27.82°E","108,000",~39 million,Operational,https://en.wikipedia.org/wiki/List_of_oil_refineries,https://en.wikipedia.org/wiki/List_of_oil_refineries,,
South Africa,Sasol Secunda (CTL/synfuels),Sasol (100%),Secunda,"26.52°S, 29.18°E","250,000–300,000",~91–110 million,Operational (coal-to-liquids),https://en.wikipedia.org/wiki/List_of_oil_refineries,https://thenationonlineng.net/full-list-top-10-largest-refineries-in-africa-2026/,https://en.wikipedia.org/wiki/List_of_oil_refineries,
Tunisia,Bizerte Refinery (STIR),"Société Tunisienne des Industries de Raffinage (STIR, state)",Bizerte,"37.27°N, 9.87°E","34,000",~12.4 million,Operational,https://en.wikipedia.org/wiki/List_of_oil_refineries,https://en.wikipedia.org/wiki/List_of_oil_refineries,,
Morocco,Mohammedia Refinery (SAMIR),SAMIR (in liquidation),Mohammedia,"33.68°N, 7.38°W","200,000 (former)",~73 million (former),Closed since 2015; revival proposals,https://en.wikipedia.org/wiki/List_of_oil_refineries,https://en.wikipedia.org/wiki/List_of_oil_refineries,,
Namibia,None operational,-,-,-,-,-,No active crude refinery,https://en.wikipedia.org/wiki/List_of_oil_refineries,https://en.wikipedia.org/wiki/List_of_oil_refineries,,
Uganda,Uganda Oil Refinery (planned),Planned (government-led JV),"Kabaale, Hoima District","1.50°N, 31.08°E","60,000",~22 million,Still in planning stage (target ~2030),https://en.wikipedia.org/wiki/List_of_oil_refineries,https://energycapitalpower.com/from-planning-to-sanction-africas-key-oil-gas-fids-to-watch-in-2026/,,
Mauritania,Nouadhibou Refinery (SOMIR),SOMIR (state-linked),Nouadhibou,"20.94°N, 17.04°W","10,000–20,000",~3.7–7.3 million,"Operational (small-scale, low utilization)",https://en.wikipedia.org/wiki/List_of_oil_refineries,https://en.wikipedia.org/wiki/List_of_oil_refineries,,
Djibouti,Damerjog Refinery (planned),Unknown / Proposed (previously linked to Saudi or international investors),Damerjog Industrial Park (near Djibouti City),"11.55°N, 43.10°E","300,000 (proposed)",~109.5 million,"No operational petroleum refinery in Djibouti. The Damerjog cracking refinery project remains in planning/early development stage with no confirmed construction start or operations. Recent activity focuses on fuel storage depots (e.g., Ethiopian Investment Holdings 150,000 cbm storage proposal) and port infrastructure rather than active refining.",https://en.wikipedia.org/wiki/List_of_oil_refineries,https://www.offshore-technology.com/data-insights/damerjog-refinery-cracking-djibouti/,https://dpfza.gov.dj/visit-ethiopian-investment-holdings-damerjog-industrial-and-port-facilities,
